ID,CountryOrRegion,OrgType,StateOrProvince,Department,DivisionOrCompanyName,Title,Notes,Date,URL
0,Australia,Government,Commonwealth,Finance and Administration,Government Information Management Office,A Guide to Open Source Software for Australian Government Agencies,"The Open Source Initiative (OSI), an organisation established to promote open source software, has developed an Open Source Definition (OSD) as follows… (Pg. 4)",06/01/11,http://www.finance.gov.au/files/2012/04/AGuidetoOpenSourceSoftware.pdf
1,Australia,Government,Commonwealth,Finance and Administration,Government Information Management Office,A Guide to Open Source Software for Australian Government Agencies,"Keep this list up to date in the agency’s source repository, and use the Open Source Initiative and Free Software Foundation websites to verify compatibility between licences. (Pg. 38)",06/01/11,http://www.finance.gov.au/files/2012/04/AGuidetoOpenSourceSoftware.pdf
